'Time and date','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
'[00:00:02.718 01/01/2011]',9.501,9.936,9.224,11.348,17.790,33.763,1.833,3.198,1.354,4.149,0.130,-3.455,-6.211,4.589,3.778,5.244,13.298,0.997,7.526,5.957,-0.036,0.000
'[00:00:02.720 01/01/2011]',10.366,10.488,11.021,11.831,19.660,33.900,1.132,2.094,1.259,3.099,-1.107,-4.926,-7.272,2.895,1.108,2.726,13.815,0.642,5.987,5.757,-0.046,0.000
'[00:00:02.722 01/01/2011]',10.806,10.717,12.161,11.887,20.644,33.305,0.653,0.762,1.293,1.706,-1.994,-6.431,-8.134,0.910,-1.605,-0.110,13.849,0.288,4.253,5.315,-0.055,0.000
'[00:00:02.724 01/01/2011]',10.860,10.694,12.644,11.619,20.714,32.154,0.345,-0.685,1.469,0.093,-2.445,-7.898,-8.754,-1.214,-4.077,-3.031,13.509,-0.047,2.439,4.677,-0.063,0.000
'[00:00:02.726 01/01/2011]',10.619,10.507,12.560,11.179,20.009,30.708,0.180,-2.105,1.816,-1.581,-2.425,-9.234,-9.083,-3.292,-6.049,-5.799,12.960,-0.348,0.700,3.916,-0.070,0.000
'[00:00:02.728 01/01/2011]',10.197,10.258,12.053,10.738,18.792,29.274,0.145,-3.333,2.377,-3.118,-1.945,-10.319,-9.083,-5.117,-7.323,-8.192,12.395,-0.595,-0.787,3.123,-0.076,0.000
'[00:00:02.730 01/01/2011]',9.699,10.027,11.287,10.461,17.369,28.132,0.214,-4.195,3.188,-4.319,-1.046,-11.016,-8.718,-6.482,-7.785,-10.028,11.992,-0.758,-1.847,2.388,-0.081,0.000
'[00:00:02.732 01/01/2011]',9.197,9.855,10.392,10.465,15.993,27.473,0.349,-4.543,4.258,-5.014,0.196,-11.195,-7.966,-7.214,-7.406,-11.175,11.873,-0.805,-2.350,1.787,-0.086,0.000
'[00:00:02.734 01/01/2011]',8.713,9.721,9.454,10.789,14.829,27.357,0.488,-4.286,5.542,-5.093,1.689,-10.767,-6.838,-7.199,-6.252,-11.567,12.080,-0.708,-2.224,1.368,-0.090,0.000
'[00:00:02.736 01/01/2011]',8.216,9.547,8.514,11.382,13.924,27.697,0.568,-3.430,6.944,-4.555,3.324,-9.733,-5.387,-6.418,-4.475,-11.218,12.558,-0.469,-1.490,1.147,-0.093,0.000
'[00:00:02.738 01/01/2011]',7.651,9.238,7.570,12.112,13.243,28.292,0.537,-2.089,8.306,-3.510,4.974,-8.195,-3.728,-4.964,-2.298,-10.226,13.168,-0.123,-0.256,1.107,-0.096,0.000
'[00:00:02.740 01/01/2011]',6.980,8.716,6.625,12.789,12.713,28.873,0.372,-0.468,9.456,-2.181,6.513,-6.346,-2.028,-3.040,-0.007,-8.777,13.733,0.244,1.292,1.207,-0.097,0.000
'[00:00:02.742 01/01/2011]',6.195,7.975,5.689,13.231,12.277,29.187,0.087,1.170,10.235,-0.849,7.825,-4.434,-0.478,-0.930,2.096,-7.105,14.069,0.525,2.916,1.395,-0.096,0.000
'[00:00:02.744 01/01/2011]',5.345,7.094,4.802,13.295,11.912,29.056,-0.284,2.566,10.532,0.193,8.824,-2.705,0.738,1.056,3.732,-5.464,14.052,0.609,4.364,1.617,-0.094,0.000
'[00:00:02.746 01/01/2011]',4.515,6.230,4.010,12.921,11.620,28.415,-0.687,3.520,10.316,0.711,9.466,-1.355,1.492,2.646,4.698,-4.072,13.637,0.424,5.418,1.829,-0.090,0.000
'[00:00:02.748 01/01/2011]',3.822,5.562,3.374,12.139,11.417,27.333,-1.063,3.926,9.651,0.577,9.752,-0.490,1.737,3.660,4.919,-3.060,12.866,-0.042,5.933,2.001,-0.086,0.000
'[00:00:02.750 01/01/2011]',3.356,5.245,2.937,11.064,11.293,25.982,-1.343,3.791,8.678,-0.200,9.735,-0.124,1.529,4.051,4.455,-2.468,11.864,-0.724,5.863,2.121,-0.082,0.000
'[00:00:02.752 01/01/2011]',3.176,5.357,2.717,9.867,11.212,24.601,-1.457,3.210,7.585,-1.481,9.501,-0.196,1.011,3.906,3.511,-2.224,10.800,-1.479,5.276,2.193,-0.077,0.000
'[00:00:02.754 01/01/2011]',3.290,5.886,2.719,8.744,11.103,23.452,-1.337,2.346,6.570,-3.021,9.154,-0.602,0.379,3.425,2.374,-2.186,9.864,-2.127,4.346,2.233,-0.072,0.000
'[00:00:02.756 01/01/2011]',3.675,6.750,2.932,7.883,10.902,22.766,-0.918,1.395,5.810,-4.529,8.785,-1.218,-0.147,2.873,1.355,-2.181,9.227,-2.468,3.321,2.266,-0.066,0.000
'[00:00:02.758 01/01/2011]',4.278,7.830,3.338,7.439,10.568,22.713,-0.180,0.545,5.423,-5.712,8.465,-1.925,-0.384,2.524,0.730,-2.049,9.019,-2.350,2.471,2.324,-0.058,0.000
'[00:00:02.760 01/01/2011]',5.040,9.007,3.916,7.517,10.108,23.376,0.850,-0.047,5.466,-6.347,8.233,-2.614,-0.213,2.613,0.676,-1.676,9.313,-1.688,2.044,2.445,-0.048,0.000
'[00:00:02.762 01/01/2011]',5.900,10.188,4.644,8.159,9.578,24.719,2.085,-0.276,5.927,-6.303,8.102,-3.197,0.402,3.292,1.246,-1.012,10.115,-0.495,2.211,2.667,-0.035,0.000
'[00:00:02.764 01/01/2011]',6.790,11.290,5.487,9.320,9.072,26.603,3.387,-0.097,6.738,-5.584,8.063,-3.591,1.413,4.616,2.376,-0.060,11.353,1.114,3.027,3.028,-0.017,0.000
'[00:00:02.766 01/01/2011]',7.621,12.235,6.382,10.882,8.684,28.795,4.606,0.464,7.777,-4.312,8.110,-3.748,2.699,6.514,3.904,1.117,12.887,2.940,4.426,3.558,0.007,0.000
'[00:00:02.768 01/01/2011]',8.295,12.929,7.241,12.643,8.483,30.999,5.613,1.317,8.910,-2.710,8.235,-3.646,4.102,8.835,5.612,2.411,14.519,4.743,6.221,4.273,0.039,0.000
'[00:00:02.770 01/01/2011]',8.710,13.271,7.951,14.364,8.481,32.918,6.324,2.319,9.992,-1.048,8.434,-3.309,5.442,11.332,7.256,3.680,16.029,6.288,8.157,5.167,0.080,0.000
'[00:00:02.772 01/01/2011]',8.780,13.182,8.401,15.795,8.627,34.301,6.725,3.315,10.897,0.415,8.685,-2.797,6.562,13.727,8.611,4.762,17.207,7.403,9.950,6.210,0.131,0.000
'[00:00:02.774 01/01/2011]',8.463,12.629,8.488,16.746,8.808,34.990,6.861,4.154,11.550,1.491,8.946,-2.193,7.338,15.757,9.494,5.484,17.902,8.014,11.353,7.347,0.192,0.000
'[00:00:02.776 01/01/2011]',7.772,11.662,8.161,17.109,8.880,34.948,6.827,4.740,11.936,2.105,9.154,-1.574,7.710,17.212,9.785,5.706,18.057,8.165,12.198,8.503,0.260,0.000
'[00:00:02.778 01/01/2011]',6.785,10.402,7.420,16.889,8.696,34.249,6.735,5.049,12.116,2.313,9.234,-0.996,7.689,17.987,9.444,5.346,17.706,8.002,12.426,9.599,0.332,0.000
'[00:00:02.780 01/01/2011]',5.619,9.015,6.326,16.205,8.144,33.045,6.710,5.124,12.206,2.267,9.126,-0.470,7.361,18.099,8.526,4.417,16.985,7.728,12.093,10.557,0.405,0.000
'[00:00:02.782 01/01/2011]',4.405,7.667,5.002,15.231,7.172,31.529,6.851,5.071,12.343,2.177,8.800,0.019,6.861,17.676,7.155,3.038,16.063,7.549,11.345,11.316,0.474,0.000
'[00:00:02.784 01/01/2011]',3.265,6.479,3.583,14.170,5.806,29.886,7.227,4.999,12.637,2.241,8.263,0.499,6.352,16.925,5.522,1.417,15.120,7.617,10.376,11.835,0.534,0.000
'[00:00:02.786 01/01/2011]',2.284,5.516,2.229,13.179,4.139,28.267,7.844,4.986,13.134,2.576,7.551,0.979,5.973,16.070,3.823,-0.187,14.278,7.989,9.383,12.098,0.581,0.000
'[00:00:02.788 01/01/2011]',1.510,4.787,1.066,12.358,2.302,26.780,8.630,5.044,13.777,3.185,6.703,1.422,5.786,15.295,2.241,-1.531,13.593,8.609,8.505,12.106,0.611,0.000
'[00:00:02.790 01/01/2011]',0.967,4.279,0.184,11.726,0.462,25.498,9.427,5.116,14.419,3.948,5.737,1.747,5.771,14.690,0.877,-2.456,13.054,9.335,7.815,11.873,0.623,0.000
'[00:00:02.792 01/01/2011]',0.660,3.982,-0.358,11.249,-1.224,24.472,10.014,5.086,14.856,4.650,4.637,1.833,5.797,14.231,-0.236,-2.916,12.600,9.972,7.297,11.419,0.613,0.000
'[00:00:02.794 01/01/2011]',0.598,3.912,-0.537,10.868,-2.614,23.748,10.152,4.819,14.867,5.044,3.357,1.562,5.672,13.797,-1.156,-2.996,12.172,10.329,6.865,10.771,0.583,0.000
'[00:00:02.796 01/01/2011]',0.783,4.095,-0.358,10.529,-3.591,23.370,9.640,4.207,14.294,4.921,1.858,0.846,5.184,13.216,-1.983,-2.883,11.722,10.274,6.404,9.958,0.533,0.000
'[00:00:02.798 01/01/2011]',1.211,4.542,0.161,10.203,-4.076,23.366,8.385,3.210,13.069,4.156,0.139,-0.329,4.174,12.314,-2.829,-2.813,11.249,9.772,5.804,9.015,0.465,0.000
'[00:00:02.800 01/01/2011]',1.858,5.218,0.984,9.891,-4.027,23.735,6.433,1.863,11.255,2.756,-1.744,-1.895,2.596,10.976,-3.778,-2.993,10.783,8.874,5.001,7.985,0.384,0.000
'[00:00:02.802 01/01/2011]',2.675,6.045,2.060,9.615,-3.439,24.439,3.981,0.284,9.023,0.856,-3.671,-3.708,0.538,9.193,-4.849,-3.550,10.381,7.732,3.995,6.916,0.296,0.000
'[00:00:02.804 01/01/2011]',3.590,6.902,3.315,9.410,-2.369,25.397,1.325,-1.353,6.624,-1.307,-5.471,-5.559,-1.789,7.051,-5.994,-4.497,10.090,6.545,2.850,5.863,0.206,0.000
'[00:00:02.806 01/01/2011]',4.522,7.675,4.647,9.315,-0.916,26.497,-1.199,-2.855,4.334,-3.440,-6.966,-7.220,-4.087,4.730,-7.109,-5.739,9.966,5.527,1.687,4.878,0.123,0.000
'[00:00:02.808 01/01/2011]',5.401,8.286,5.955,9.367,0.768,27.623,-3.290,-4.033,2.406,-5.255,-8.012,-8.471,-6.044,2.460,-8.056,-7.093,10.038,4.854,0.641,4.006,0.050,0.000
'[00:00:02.810 01/01/2011]',6.174,8.724,7.133,9.600,2.498,28.676,-4.749,-4.740,1.027,-6.509,-8.520,-9.148,-7.407,0.457,-8.698,-8.340,10.327,4.646,-0.156,3.279,-0.007,0.000
'[00:00:02.812 01/01/2011]',6.831,9.035,8.102,10.044,4.082,29.588,-5.491,-4.897,0.293,-7.061,-8.475,-9.165,-8.028,-1.097,-8.945,-9.276,10.834,4.933,-0.625,2.711,-0.048,0.000
'[00:00:02.814 01/01/2011]',7.370,9.291,8.802,10.704,5.352,30.325,-5.554,-4.503,0.205,-6.882,-7.925,-8.536,-7.889,-2.111,-8.760,-9.761,11.533,5.659,-0.744,2.299,-0.074,0.000
'[00:00:02.816 01/01/2011]',7.791,9.557,9.204,11.543,6.192,30.872,-5.062,-3.634,0.681,-6.053,-6.966,-7.363,-7.101,-2.588,-8.178,-9.736,12.369,6.687,-0.558,2.025,-0.087,0.000
'[00:00:02.818 01/01/2011]',8.080,9.839,9.288,12.478,6.552,31.223,-4.193,-2.436,1.575,-4.759,-5.720,-5.834,-5.864,-2.610,-7.304,-9.249,13.243,7.822,-0.172,1.860,-0.091,0.000
'[00:00:02.820 01/01/2011]',8.193,10.077,9.017,13.367,6.451,31.356,-3.146,-1.098,2.706,-3.236,-4.315,-4.171,-4.423,-2.324,-6.294,-8.424,14.016,8.837,0.277,1.766,-0.088,0.000
'[00:00:02.822 01/01/2011]',8.059,10.159,8.373,14.034,5.950,31.238,-2.114,0.189,3.888,-1.739,-2.884,-2.597,-3.021,-1.900,-5.334,-7.463,14.538,9.515,0.641,1.705,-0.082,0.000
'[00:00:02.824 01/01/2011]',7.608,9.958,7.325,14.313,5.142,30.822,-1.265,1.253,4.954,-0.491,-1.546,-1.290,-1.856,-1.499,-4.602,-6.581,14.666,9.676,0.803,1.639,-0.076,0.000
'[00:00:02.826 01/01/2011]',6.780,9.361,5.866,14.090,4.123,30.070,-0.733,1.988,5.786,0.361,-0.410,-0.353,-1.051,-1.238,-4.237,-5.999,14.314,9.230,0.687,1.536,-0.072,0.000
'[00:00:02.828 01/01/2011]',5.568,8.317,4.043,13.332,2.993,28.974,-0.580,2.358,6.322,0.753,0.445,0.196,-0.642,-1.167,-4.311,-5.866,13.478,8.184,0.286,1.377,-0.071,0.000
'[00:00:02.830 01/01/2011]',4.027,6.858,1.968,12.116,1.857,27.585,-0.799,2.411,6.579,0.725,0.985,0.420,-0.577,-1.267,-4.814,-6.246,12.244,6.655,-0.339,1.158,-0.072,0.000
'[00:00:02.832 01/01/2011]',2.290,5.101,-0.179,10.618,0.840,26.031,-1.297,2.257,6.632,0.401,1.232,0.444,-0.730,-1.448,-5.629,-7.073,10.781,4.859,-1.057,0.898,-0.076,0.000
'[00:00:02.834 01/01/2011]',0.545,3.235,-2.165,9.082,0.090,24.508,-1.913,2.052,6.610,-0.039,1.270,0.416,-0.925,-1.570,-6.571,-8.165,9.311,3.068,-1.703,0.634,-0.082,0.000
'[00:00:02.836 01/01/2011]',-0.976,1.510,-3.752,7.769,-0.234,23.262,-2.449,1.952,6.655,-0.387,1.238,0.478,-0.970,-1.475,-7.389,-9.244,8.072,1.573,-2.087,0.419,-0.088,0.000
'[00:00:02.838 01/01/2011]',-2.053,0.190,-4.726,6.907,-0.004,22.536,-2.716,2.095,6.894,-0.461,1.295,0.729,-0.697,-1.021,-7.831,-9.998,7.268,0.622,-2.049,0.306,-0.093,0.000
'[00:00:02.840 01/01/2011]',-2.498,-0.485,-4.956,6.655,0.849,22.517,-2.583,2.553,7.399,-0.130,1.576,1.194,0.000,-0.122,-7.693,-10.151,7.044,0.385,-1.482,0.332,-0.096,0.000
'[00:00:02.842 01/01/2011]',-2.209,-0.341,-4.406,7.076,2.284,23.269,-2.003,3.323,8.167,0.652,2.162,1.818,1.142,1.233,-6.858,-9.526,7.456,0.920,-0.361,0.505,-0.097,0.000
'[00:00:02.844 01/01/2011]',-1.183,0.688,-3.149,8.126,4.152,24.722,-1.022,4.329,9.120,1.848,3.041,2.489,2.662,2.966,-5.325,-8.100,8.464,2.176,1.245,0.802,-0.095,0.000
'[00:00:02.846 01/01/2011]',0.477,2.541,-1.355,9.666,6.211,26.664,0.240,5.435,10.127,3.342,4.123,3.055,4.429,4.933,-3.203,-5.989,9.945,4.001,3.192,1.166,-0.092,0.000
'[00:00:02.848 01/01/2011]',2.579,5.025,0.746,11.493,8.184,28.794,1.631,6.479,11.039,4.975,5.251,3.380,6.281,6.951,-0.691,-3.433,11.707,6.173,5.284,1.526,-0.088,0.000
'[00:00:02.850 01/01/2011]',4.861,7.843,2.891,13.361,9.822,30.777,2.998,7.325,11.717,6.570,6.263,3.381,8.054,8.842,1.970,-0.737,13.513,8.433,7.318,1.818,-0.084,0.000
'[00:00:02.852 01/01/2011]',7.040,10.629,4.810,15.010,10.948,32.317,4.222,7.875,12.084,7.970,7.023,3.056,9.649,10.474,4.545,1.806,15.112,10.517,9.109,1.992,-0.082,0.000
'[00:00:02.854 01/01/2011]',8.836,13.008,6.272,16.207,11.480,33.197,5.227,8.088,12.116,9.054,7.456,2.482,10.999,11.767,6.838,3.955,16.275,12.200,10.537,2.028,-0.080,0.000
'[00:00:02.856 01/01/2011]',10.013,14.641,7.095,16.759,11.419,33.296,5.977,7.985,11.866,9.750,7.560,1.784,12.111,12.725,8.723,5.569,16.817,13.310,11.542,1.931,-0.079,0.000
'[00:00:02.858 01/01/2011]',10.412,15.280,7.174,16.550,10.815,32.600,6.460,7.624,11.427,10.037,7.403,1.108,13.026,13.393,10.159,6.611,16.618,13.772,12.141,1.725,-0.078,0.000
'[00:00:02.860 01/01/2011]',9.977,14.816,6.500,15.559,9.731,31.199,6.683,7.091,10.933,9.945,7.095,0.585,13.817,13.876,11.186,7.158,15.661,13.633,12.411,1.442,-0.076,0.000
'[00:00:02.862 01/01/2011]',8.763,13.293,5.173,13.871,8.238,29.265,6.671,6.493,10.516,9.564,6.764,0.311,14.548,14.293,11.914,7.370,14.031,13.055,12.485,1.116,-0.074,0.000
'[00:00:02.864 01/01/2011]',6.949,10.919,3.379,11.681,6.414,27.059,6.472,5.940,10.316,9.020,6.520,0.339,15.278,14.770,12.500,7.465,11.913,12.305,12.523,0.781,-0.071,0.000
'[00:00:02.866 01/01/2011]',4.812,8.033,1.401,9.258,4.361,24.897,6.173,5.544,10.447,8.470,6.454,0.681,16.034,15.417,13.106,7.665,9.570,11.705,12.694,0.470,-0.068,0.000
'[00:00:02.868 01/01/2011]',2.678,5.060,-0.455,6.915,2.232,23.110,5.892,5.400,11.003,8.081,6.595,1.309,16.816,16.302,13.849,8.150,7.297,11.561,13.133,0.219,-0.066,0.000
'[00:00:02.870 01/01/2011]',0.874,2.431,-1.904,4.933,0.214,21.983,5.771,5.555,12.024,7.983,6.925,2.155,17.586,17.437,14.776,9.024,5.372,12.082,13.920,0.060,-0.064,0.000
'[00:00:02.872 01/01/2011]',-0.345,0.500,-2.735,3.525,-1.488,21.675,5.943,6.008,13.506,8.239,7.372,3.127,18.277,18.761,15.829,10.261,4.006,13.320,15.047,0.015,-0.063,0.000
'[00:00:02.874 01/01/2011]',-0.833,-0.514,-2.850,2.782,-2.708,22.179,6.484,6.690,15.380,8.836,7.819,4.107,18.817,20.145,16.864,11.727,3.293,15.161,16.416,0.090,-0.062,0.000
'[00:00:02.876 01/01/2011]',-0.581,-0.560,-2.262,2.677,-3.358,23.307,7.390,7.479,17.516,9.667,8.131,4.991,19.131,21.407,17.692,13.209,3.210,17.348,17.848,0.266,-0.062,0.000
'[00:00:02.878 01/01/2011]',0.303,0.256,-1.094,3.078,-3.451,24.732,8.555,8.239,19.740,10.593,8.188,5.719,19.191,22.353,18.131,14.453,3.633,19.564,19.143,0.504,-0.062,0.000
'[00:00:02.880 01/01/2011]',1.628,1.714,0.473,3.794,-3.096,26.066,9.781,8.857,21.858,11.447,7.900,6.278,18.974,22.806,18.051,15.227,4.374,21.498,20.077,0.752,-0.061,0.000
'[00:00:02.882 01/01/2011]',3.174,3.544,2.234,4.628,-2.468,26.972,10.823,9.260,23.685,12.098,7.229,6.721,18.507,22.647,17.410,15.370,5.229,22.931,20.495,0.958,-0.060,0.000
'[00:00:02.884 01/01/2011]',4.739,5.487,3.995,5.414,-1.759,27.236,11.434,9.437,25.061,12.466,6.187,7.126,17.816,21.828,16.254,14.803,6.030,23.782,20.311,1.078,-0.058,0.000
'[00:00:02.886 01/01/2011]',6.161,7.332,5.605,6.040,-1.126,26.814,11.412,9.423,25.877,12.545,4.831,7.568,16.922,20.382,14.686,13.539,6.675,24.094,19.526,1.091,-0.056,0.000
'[00:00:02.888 01/01/2011]',7.342,8.941,6.949,6.475,-0.678,25.819,10.648,9.280,26.089,12.372,3.242,8.073,15.855,18.417,12.845,11.675,7.125,24.001,18.217,1.000,-0.055,0.000
'[00:00:02.890 01/01/2011]',8.228,10.232,7.956,6.737,-0.450,24.464,9.133,9.073,25.705,12.035,1.517,8.627,14.611,16.094,10.871,9.376,7.410,23.678,16.529,0.825,-0.054,0.000
'[00:00:02.892 01/01/2011]',8.796,11.162,8.590,6.884,-0.434,22.992,6.956,8.852,24.786,11.621,-0.247,9.164,13.213,13.622,8.902,6.870,7.593,23.279,14.634,0.601,-0.053,0.000
'[00:00:02.894 01/01/2011]',9.045,11.711,8.854,6.985,-0.587,21.599,4.282,8.647,23.419,11.208,-1.950,9.611,11.712,11.218,7.081,4.417,7.741,22.897,12.709,0.369,-0.053,0.000
'[00:00:02.896 01/01/2011]',8.983,11.863,8.756,7.098,-0.860,20.408,1.328,8.463,21.718,10.835,-3.503,9.905,10.198,9.097,5.529,2.296,7.900,22.551,10.904,0.165,-0.052,0.000
'[00:00:02.898 01/01/2011]',8.622,11.622,8.358,7.241,-1.215,19.453,-1.663,8.276,19.803,10.485,-4.821,10.010,8.780,7.415,4.361,0.752,8.077,22.178,9.318,0.019,-0.052,0.000
'[00:00:02.900 01/01/2011]',8.000,11.010,7.688,7.394,-1.632,18.702,-4.457,8.035,17.795,10.088,-5.851,9.915,7.576,6.258,3.642,-0.052,8.236,21.658,7.982,-0.054,-0.052,0.000
'[00:00:02.902 01/01/2011]',7.165,10.093,6.822,7.503,-2.105,18.089,-6.846,7.657,15.795,9.530,-6.569,9.607,6.651,5.610,3.369,-0.067,8.297,20.843,6.861,-0.054,-0.052,0.000
'[00:00:02.904 01/01/2011]',6.181,8.973,5.802,7.482,-2.636,17.544,-8.679,7.053,13.891,8.690,-6.987,9.067,6.034,5.354,3.458,0.617,8.175,19.598,5.873,0.006,-0.051,0.000
'[00:00:02.906 01/01/2011]',5.123,7.770,4.672,7.247,-3.229,17.006,-9.881,6.142,12.152,7.473,-7.148,8.266,5.678,5.314,3.775,1.791,7.785,17.848,4.911,0.101,-0.051,0.000
'[00:00:02.908 01/01/2011]',4.072,6.611,3.466,6.737,-3.879,16.434,-10.465,4.892,10.629,5.851,-7.107,7.193,5.498,5.287,4.160,3.185,7.079,15.599,3.890,0.198,-0.051,0.000
'[00:00:02.910 01/01/2011]',3.091,5.597,2.231,5.938,-4.567,15.802,-10.512,3.337,9.363,3.892,-6.907,5.868,5.409,5.103,4.475,4.515,6.061,12.974,2.774,0.262,-0.051,0.000
'[00:00:02.912 01/01/2011]',2.238,4.787,1.022,4.886,-5.265,15.097,-10.160,1.591,8.390,1.755,-6.577,4.375,5.324,4.676,4.645,5.551,4.794,10.200,1.602,0.266,-0.051,0.000
'[00:00:02.914 01/01/2011]',1.552,4.205,-0.074,3.672,-5.928,14.327,-9.553,-0.169,7.736,-0.339,-6.134,2.829,5.208,4.001,4.667,6.153,3.392,7.575,0.463,0.194,-0.052,0.000
'[00:00:02.916 01/01/2011]',1.069,3.834,-0.971,2.421,-6.495,13.528,-8.818,-1.746,7.417,-2.160,-5.590,1.386,5.051,3.150,4.582,6.261,1.997,5.401,-0.520,0.043,-0.052,0.000
'[00:00:02.918 01/01/2011]',0.799,3.647,-1.585,1.272,-6.897,12.751,-8.043,-2.976,7.419,-3.514,-4.976,0.167,4.853,2.237,4.436,5.876,0.756,3.917,-1.238,-0.171,-0.052,0.000
'[00:00:02.920 01/01/2011]',0.740,3.605,-1.879,0.341,-7.071,12.065,-7.280,-3.766,7.687,-4.307,-4.358,-0.753,4.614,1.357,4.248,5.032,-0.220,3.226,-1.628,-0.423,-0.052,0.000
'[00:00:02.922 01/01/2011]',0.852,3.651,-1.873,-0.306,-6.960,11.537,-6.553,-4.117,8.111,-4.551,-3.822,-1.381,4.318,0.571,3.983,3.760,-0.870,3.269,-1.703,-0.682,-0.052,0.000
'[00:00:02.924 01/01/2011]',1.056,3.709,-1.669,-0.675,-6.554,11.206,-5.899,-4.129,8.538,-4.367,-3.465,-1.785,3.933,-0.126,3.576,2.099,-1.213,3.820,-1.548,-0.921,-0.051,0.000
'[00:00:02.926 01/01/2011]',1.239,3.678,-1.426,-0.834,-5.886,11.062,-5.375,-3.962,8.786,-3.938,-3.361,-2.086,3.438,-0.787,2.958,0.085,-1.339,4.558,-1.294,-1.122,-0.050,0.000
'[00:00:02.928 01/01/2011]',1.270,3.440,-1.337,-0.914,-5.040,11.052,-5.045,-3.798,8.692,-3.477,-3.528,-2.408,2.834,-1.485,2.105,-2.206,-1.385,5.139,-1.075,-1.283,-0.048,0.000
'[00:00:02.930 01/01/2011]',1.027,2.887,-1.580,-1.065,-4.158,11.079,-4.987,-3.803,8.140,-3.174,-3.924,-2.850,2.171,-2.273,1.073,-4.654,-1.508,5.284,-0.989,-1.412,-0.046,0.000
'[00:00:02.932 01/01/2011]',0.435,1.972,-2.280,-1.422,-3.397,11.039,-5.258,-4.089,7.087,-3.164,-4.452,-3.478,1.522,-3.164,-0.020,-7.103,-1.839,4.838,-1.073,-1.534,-0.043,0.000
'[00:00:02.934 01/01/2011]',-0.515,0.725,-3.481,-2.066,-2.924,10.845,-5.867,-4.702,5.580,-3.514,-5.002,-4.307,0.975,-4.119,-1.006,-9.371,-2.455,3.794,-1.296,-1.670,-0.040,0.000
'[00:00:02.936 01/01/2011]',-1.758,-0.723,-5.150,-3.003,-2.876,10.462,-6.790,-5.624,3.735,-4.207,-5.475,-5.318,0.599,-5.062,-1.725,-11.295,-3.354,2.274,-1.580,-1.838,-0.036,0.000
'[00:00:02.938 01/01/2011]',-3.166,-2.166,-7.179,-4.151,-3.336,9.914,-7.950,-6.775,1.717,-5.167,-5.832,-6.469,0.415,-5.890,-2.072,-12.759,-4.452,0.482,-1.828,-2.042,-0.032,0.000
'[00:00:02.940 01/01/2011]',-4.576,-3.367,-9.416,-5.363,-4.322,9.293,-9.238,-8.035,-0.293,-6.259,-6.097,-7.690,0.402,-6.502,-2.022,-13.711,-5.604,-1.358,-1.952,-2.270,-0.028,0.000
'[00:00:02.942 01/01/2011]',-5.830,-4.114,-11.680,-6.450,-5.773,8.723,-10.522,-9.250,-2.125,-7.313,-6.328,-8.880,0.508,-6.808,-1.618,-14.153,-6.625,-3.031,-1.892,-2.491,-0.024,0.000
'[00:00:02.944 01/01/2011]',-6.791,-4.279,-13.791,-7.227,-7.571,8.345,-11.658,-10.251,-3.636,-8.152,-6.595,-9.908,0.685,-6.738,-0.940,-14.128,-7.341,-4.381,-1.630,-2.664,-0.020,0.000
'[00:00:02.946 01/01/2011]',-7.382,-3.837,-15.578,-7.555,-9.545,8.269,-12.508,-10.874,-4.711,-8.621,-6.936,-10.620,0.915,-6.239,-0.079,-13.688,-7.622,-5.302,-1.175,-2.745,-0.016,0.000
'[00:00:02.948 01/01/2011]',-7.578,-2.880,-16.905,-7.377,-11.515,8.539,-12.969,-10.991,-5.279,-8.619,-7.325,-10.859,1.224,-5.299,0.903,-12.887,-7.417,-5.753,-0.571,-2.701,-0.012,0.000
'[00:00:02.950 01/01/2011]',-7.425,-1.589,-17.694,-6.745,-13.329,9.111,-12.986,-10.545,-5.323,-8.136,-7.690,-10.512,1.659,-3.937,1.965,-11.775,-6.786,-5.748,0.116,-2.520,-0.008,0.000
'[00:00:02.952 01/01/2011]',-7.026,-0.209,-17.945,-5.813,-14.889,9.842,-12.575,-9.570,-4.877,-7.260,-7.935,-9.552,2.260,-2.244,3.071,-10.428,-5.881,-5.354,0.798,-2.221,-0.003,0.000
'[00:00:02.954 01/01/2011]',-6.527,0.998,-17.735,-4.824,-16.178,10.513,-11.842,-8.220,-4.042,-6.177,-7.994,-8.078,3.015,-0.373,4.158,-8.957,-4.934,-4.681,1.369,-1.852,0.002,0.000
'[00:00:02.956 01/01/2011]',-6.094,1.792,-17.216,-4.054,-17.238,10.857,-10.942,-6.737,-2.965,-5.132,-7.865,-6.307,3.848,1.458,5.126,-7.518,-4.213,-3.870,1.723,-1.486,0.007,0.000
'[00:00:02.958 01/01/2011]',-5.884,1.996,-16.575,-3.753,-18.141,10.633,-10.072,-5.405,-1.814,-4.379,-7.607,-4.529,4.628,3.014,5.848,-6.288,-3.947,-3.063,1.768,-1.197,0.013,0.000
'[00:00:02.960 01/01/2011]',-5.997,1.525,-15.984,-4.097,-18.946,9.669,-9.393,-4.490,-0.741,-4.119,-7.341,-3.041,5.195,4.080,6.206,-5.429,-4.287,-2.386,1.461,-1.050,0.018,0.000
